mileage,make,model,fuel,gear,offerType,price,hp,year
90173,20,286,6,1,4,8990,101.0,2014
54210,46,204,6,0,4,8990,120.0,2014
123559,43,12,1,0,4,8995,92.0,2014
81430,11,153,6,0,4,8999,82.0,2014
73000,47,388,6,1,4,9000,110.0,2014
56700,9,599,6,1,4,9000,140.0,2014
68220,48,201,6,1,4,8900,75.0,2015
62665,41,236,6,0,4,8950,90.0,2015
172000,54,450,1,1,4,8990,120.0,2015
53000,48,492,6,1,4,8990,86.0,2015
175488,20,415,1,1,4,8990,120.0,2015
102690,15,257,6,1,4,8990,125.0,2015
49249,46,405,6,1,4,8990,132.0,2015
30100,28,495,6,1,4,8990,86.0,2015
69120,28,495,1,1,4,8990,90.0,2015
98540,19,540,1,1,4,9200,128.0,2015
87200,46,538,6,1,4,9250,132.0,2015
20000,57,660,6,0,0,9299,71.0,2015
57596,40,465,6,1,4,9440,116.0,2015
51833,20,286,1,1,4,9440,95.0,2015
43693,43,15,6,1,4,9450,110.0,2015
109750,15,257,6,1,4,9450,105.0,2015
88900,54,183,6,1,4,9450,86.0,2015
33000,46,652,2,0,4,8495,58.0,2016
36300,46,204,6,1,4,8499,90.0,2016
36210,46,204,6,1,4,8499,73.0,2016
101850,41,406,1,1,4,8690,95.0,2016
13832,11,149,6,1,4,8690,82.0,2016
49950,47,348,6,1,4,8690,90.0,2016
98700,41,110,1,1,4,8770,110.0,2016
190543,37,200,1,1,4,8799,90.0,2016
80000,47,388,1,1,4,8800,110.0,2016
109859,20,284,6,1,4,8840,125.0,2016
82000,48,283,6,1,4,8850,110.0,2016
68300,46,405,1,1,4,8850,110.0,2016
57644,48,283,6,1,4,8850,90.0,2016
110412,41,110,1,1,4,8880,95.0,2016
34955,40,407,6,1,4,8880,80.0,2016
149889,41,352,1,0,4,8890,136.0,2016
138965,54,320,1,1,4,8890,110.0,2016
69934,48,283,1,1,4,8890,90.0,2016
113000,54,326,1,1,4,8900,110.0,2016
3070,22,662,6,1,4,7950,67.0,2017
60300,43,15,6,1,4,7950,82.0,2017
79883,20,284,6,1,4,7985,101.0,2017
36955,40,407,6,1,4,7990,80.0,2017
24162,22,662,6,1,4,7990,67.0,2017
78588,48,283,6,1,4,7990,60.0,2017
63200,46,204,6,1,4,7990,90.0,2017
68753,40,407,6,1,4,7990,80.0,2017
29731,53,119,6,1,4,7990,69.0,2017
29712,46,602,6,1,4,7990,69.0,2017
45401,48,201,6,1,4,7990,75.0,2017
42341,20,366,6,1,4,7990,69.0,2017
68360,53,119,6,1,4,7990,69.0,2017
28864,46,204,6,1,4,7995,73.0,2017
42000,39,547,6,1,4,8000,80.0,2017
46073,20,284,6,1,4,8090,71.0,2017
16000,53,119,6,1,4,8100,69.0,2017
27547,19,49,6,1,4,8190,69.0,2017
28323,19,49,6,1,4,8190,69.0,2017
6761,54,183,6,1,4,19490,125.0,2018
44626,48,431,6,1,4,19940,179.0,2018
35000,21,203,6,1,4,19950,182.0,2018
23100,39,271,6,1,4,21490,163.0,2018
29658,41,340,1,0,4,21680,120.0,2018
86886,54,450,1,0,4,24869,239.0,2018
47000,26,643,6,0,4,24950,200.0,2018
37076,48,431,6,0,4,27890,245.0,2018
51136,54,584,1,0,4,28780,204.0,2018
32900,54,448,1,0,4,29990,190.0,2018
62302,15,535,6,1,4,4700,73.0,2018
84000,19,467,6,1,4,5990,69.0,2018
17896,39,547,6,1,4,6490,71.0,2018
78000,54,671,6,1,4,6490,60.0,2018
191533,41,207,1,1,4,6722,105.0,2018
84800,48,201,6,1,4,6850,60.0,2018
62608,54,671,6,1,4,6930,60.0,2018
23864,20,284,6,1,1,12970,95.0,2020
25885,20,284,6,1,1,12980,95.0,2020
5,46,204,6,1,3,12995,101.0,2020
19990,20,284,6,1,1,13330,95.0,2020
2438,47,348,6,1,0,13950,80.0,2020
50,47,107,6,1,3,14490,95.0,2020
18805,20,272,6,1,1,14990,101.0,2020
9990,20,272,6,1,1,15490,101.0,2020
18365,20,272,6,1,1,15790,101.0,2020
23560,20,284,6,1,1,15880,125.0,2020
9990,20,284,4,1,1,15970,125.0,2020
6315,20,284,4,1,1,16450,125.0,2020
4246,36,11,6,1,0,16880,90.0,2020
11570,20,286,1,1,1,19390,150.0,2020
7360,20,286,1,1,1,19790,150.0,2020
5050,20,286,1,1,1,19970,150.0,2020
8125,20,286,1,1,1,19990,150.0,2020
50,20,466,6,1,3,19990,125.0,2020
5050,20,286,1,1,1,20385,150.0,2020
135000,57,661,1,0,4,3940,54.0,2011
42571,22,662,6,1,4,3950,69.0,2011
130274,20,145,6,1,4,3950,150.0,2011
